DATE,TIME,実績(万kW)
2018/1/15,11:00,4451
2018/1/15,12:00,4176
2018/1/15,13:00,4173
2018/1/15,14:00,4064
2018/1/15,15:00,4060
2018/1/15,16:00,4272
2018/1/15,17:00,4553
2018/1/15,18:00,4575
2018/1/15,19:00,4481
2018/1/15,20:00,4363
2018/1/15,21:00,4195
2018/1/15,22:00,3975
2018/1/15,23:00,3710
2018/1/16,0:00,3399
2018/1/16,1:00,3225
2018/1/16,2:00,3138
2018/1/16,3:00,3101
2018/1/16,4:00,3135
2018/1/16,5:00,3354
2018/1/16,6:00,3859
2018/1/16,7:00,4205
2018/1/16,8:00,4413
2018/1/16,9:00,4441
2018/1/16,10:00,4276
2018/1/16,11:00,4159
2018/1/16,12:00,3903
2018/1/16,13:00,3930
2018/1/16,14:00,3831
2018/1/16,15:00,3812
2018/1/16,16:00,3997
2018/1/16,17:00,4274
2018/1/16,18:00,4298
2018/1/16,19:00,4203
2018/1/16,20:00,4092
2018/1/16,21:00,3926
2018/1/16,22:00,3734
2018/1/16,23:00,3493
2018/1/17,0:00,3211
2018/1/17,1:00,3054
2018/1/17,2:00,2975
2018/1/17,3:00,2931
2018/1/17,4:00,2946
2018/1/17,5:00,3124
2018/1/17,6:00,3549
2018/1/17,7:00,3895
2018/1/17,8:00,4233
2018/1/17,9:00,4463
2018/1/17,10:00,4457
2018/1/17,11:00,4400
2018/1/17,12:00,4193
2018/1/17,13:00,4276
2018/1/17,14:00,4265
2018/1/17,15:00,4278
2018/1/17,16:00,4455
2018/1/17,17:00,4502
2018/1/17,18:00,4417
2018/1/17,19:00,4279
2018/1/17,20:00,4118
2018/1/17,21:00,3903
2018/1/17,22:00,3678
2018/1/17,23:00,3388
2018/1/18,0:00,3098
2018/1/18,1:00,2952
2018/1/18,2:00,2899
2018/1/18,3:00,2873
2018/1/18,4:00,2921
2018/1/18,5:00,3116
2018/1/18,6:00,3563
2018/1/18,7:00,3842
2018/1/18,8:00,4088
2018/1/18,9:00,4187
2018/1/18,10:00,4096
2018/1/18,11:00,3985
2018/1/18,12:00,3737
2018/1/18,13:00,3868
2018/1/18,14:00,3861
2018/1/18,15:00,3825
2018/1/18,16:00,3973
2018/1/18,17:00,4188
2018/1/18,18:00,4180
2018/1/18,19:00,4073
2018/1/18,20:00,3947
